OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
304633,878705,T08268,-6.10859055,-37.76924951,Almino Afonso
304634,878706,CF76350,-6.10620578,-37.76853708,Almino Afonso
304635,878707,CF76366,-6.10504932,-37.76825325,Almino Afonso
304636,878708,CF76371,-6.10450731,-37.7680979,Almino Afonso
304637,878709,CF76387,-6.10378454,-37.76791487,Almino Afonso
304638,878710,CF76392,-6.10297171,-37.76762313,Almino Afonso
304639,878711,CF76408,-6.10252892,-37.76754038,Almino Afonso
304768,878842,CF78300,-6.08808688,-37.76808929,Almino Afonso
304769,878843,CF78321,-6.08753691,-37.76759971,Almino Afonso
304770,878844,CF78316,-6.0887813,-37.76864258,Almino Afonso
304771,878845,DC50652,-6.08706841,-37.76708329,Almino Afonso
304794,878868,CF78583,-6.08650923,-37.76664787,Almino Afonso
304795,878869,CF78578,-6.08604061,-37.76616759,Almino Afonso
304844,878919,CF76722,-6.09597909,-37.76580261,Almino Afonso
304845,878920,CF76738,-6.09485903,-37.76544665,Almino Afonso
304846,878921,CF76717,-6.09768673,-37.76620566,Almino Afonso
304847,878922,CF76701,-6.09838225,-37.76642474,Almino Afonso
304848,878923,CF76696,-6.09918628,-37.76664417,Almino Afonso
304849,878924,CF76680,-6.10055945,-37.76701903,Almino Afonso
304850,878926,CF76612,-6.09860108,-37.7768679,Almino Afonso
304851,878927,CF76628,-6.09858801,-37.77808735,Almino Afonso
304852,878928,CF76607,-6.09867821,-37.7754138,Almino Afonso
304943,879020,CF78871,-6.07288645,-37.77104757,Almino Afonso
304944,879021,CF78866,-6.07198159,-37.77091004,Almino Afonso
304946,879023,CF78798,-6.07388066,-37.77117728,Almino Afonso
304947,879024,CF78782,-6.07382342,-37.77208941,Almino Afonso
304948,879025,CF78777,-6.0752181,-37.77141651,Almino Afonso
304949,879026,CF78761,-6.07670043,-37.77159298,Almino Afonso
304950,879027,CF78756,-6.07829117,-37.77179691,Almino Afonso
304951,879028,CF78740,-6.08104767,-37.77220338,Almino Afonso
304952,879029,CF78735,-6.08462679,-37.77267579,Almino Afonso
304953,879030,CF78709,-6.08577468,-37.77281505,Almino Afonso
304954,879031,CF78714,-6.08657475,-37.77423586,Almino Afonso
304955,879032,CF7872X,-6.0871234,-37.7751229,Almino Afonso
305102,879180,CF78693,-6.08621092,-37.772139,Almino Afonso
305103,879181,CF78688,-6.0875824,-37.77027365,Almino Afonso
305104,879182,CF78672,-6.08679216,-37.77136406,Almino Afonso
305105,879183,CF78274,-6.08965319,-37.76747113,Almino Afonso
305106,879184,CF78269,-6.09068853,-37.76608341,Almino Afonso
305107,879185,CF78253,-6.09137877,-37.76515525,Almino Afonso
305108,879186,CF78248,-6.09179669,-37.76455139,Almino Afonso
305109,879187,CF76759,-6.09298917,-37.76488048,Almino Afonso
305110,879188,CF76743,-6.09411833,-37.7652184,Almino Afonso
305111,879189,CF76429,-6.10167663,-37.76825122,Almino Afonso
305112,879190,CF76434,-6.10140403,-37.76865683,Almino Afonso
305113,879191,CE7644X,-6.10112195,-37.7691979,Almino Afonso
305114,879192,CF76455,-6.10088519,-37.76970299,Almino Afonso
305115,879193,CF76460,-6.10063056,-37.77014479,Almino Afonso
305116,879194,CF76481,-6.10034848,-37.77068586,Almino Afonso
305117,879195,CF76497,-6.10008481,-37.77112763,Almino Afonso
305156,879234,CF76502,-6.09980299,-37.7715874,Almino Afonso
305157,879235,CF76518,-6.09962973,-37.77202946,Almino Afonso
305158,879236,CF76523,-6.09940208,-37.77251651,Almino Afonso
305159,879237,CF76539,-6.09923796,-37.7729315,Almino Afonso
305160,879238,CF7655X,-6.09900147,-37.77335529,Almino Afonso
305161,879239,CF76565,-6.09875576,-37.77383324,Almino Afonso
305162,879240,CF76561,-6.0986187,-37.77426639,Almino Afonso
305163,879241,T43540,-6.11297983,-37.77730456,Almino Afonso
305164,879242,CF76146,-6.11359856,-37.77737668,Almino Afonso
305165,879243,CF76167,-6.11217067,-37.77763531,Almino Afonso
305166,879244,CF76193,-6.11221194,-37.77882786,Almino Afonso
305167,879246,CF76240,-6.1128682,-37.77997728,Almino Afonso
305168,879249,CF76256,-6.11293913,-37.78040209,Almino Afonso
305169,879250,R94176,-6.1134097,-37.78028621,Almino Afonso
305170,879251,R94177,-6.11390536,-37.78078469,Almino Afonso
305171,879252,R94178,-6.11406653,-37.781264,Almino Afonso
305172,879253,R94179,-6.11414575,-37.78191467,Almino Afonso
305173,879254,R94180,-6.11417979,-37.78255616,Almino Afonso
305174,879255,R94181,-6.11427706,-37.78321592,Almino Afonso
305231,879317,CF78295,-6.08853097,-37.76777459,Almino Afonso
305232,879318,CF7828X,-6.08900222,-37.76745093,Almino Afonso
305233,879319,CF78337,-6.08725038,-37.76674063,Almino Afonso
305234,879320,CF78342,-6.08752264,-37.76643439,Almino Afonso
305235,879321,CF78358,-6.0878132,-37.76606498,Almino Afonso
305236,879322,CF78363,-6.08809474,-37.76568651,Almino Afonso
305237,879324,CF78384,-6.08821705,-37.76423258,Almino Afonso
305238,879325,CF7839X,-6.08884183,-37.76396362,Almino Afonso
305239,879326,CF78405,-6.08741095,-37.76464547,Almino Afonso
305240,879327,CF78410,-6.08712128,-37.76474389,Almino Afonso
305241,879328,CF78426,-6.08702347,-37.76423772,Almino Afonso
305242,879329,CF78431,-6.08702501,-37.763768,Almino Afonso
305243,879330,CF78447,-6.08662267,-37.76513972,Almino Afonso
305244,879331,CF78452,-6.0861604,-37.76548147,Almino Afonso
305245,879332,CF78468,-6.08577204,-37.7653447,Almino Afonso
305246,879333,CF78557,-6.08557264,-37.76548858,Almino Afonso
305247,879334,CF78473,-6.08528468,-37.76506309,Almino Afonso
305248,879335,CF78489,-6.08489676,-37.76479083,Almino Afonso
305249,879336,N64031,-6.08471696,-37.76447408,Almino Afonso
305250,879337,CF7850X,-6.08439665,-37.76564734,Almino Afonso
305251,879338,CF78515,-6.08438604,-37.76612605,Almino Afonso
305252,879339,CF78520,-6.08468259,-37.76668707,Almino Afonso
305253,879340,CF78536,-6.08480241,-37.76599192,Almino Afonso
305254,879341,CF78541,-6.085074,-37.76589344,Almino Afonso
305255,879342,CF78562,-6.08577038,-37.76585055,Almino Afonso
305256,879343,CF78599,-6.08634484,-37.76714415,Almino Afonso
305257,879344,CF78604,-6.08612579,-37.76776672,Almino Afonso
305258,879345,CF7861X,-6.08556543,-37.76769262,Almino Afonso
305259,879346,CF78630,-6.08587977,-37.76834403,Almino Afonso
305260,879347,CF78625,-6.08500524,-37.76756433,Almino Afonso
305261,879348,CF78649,-6.0855976,-37.76891219,Almino Afonso
305262,879349,CF78651,-6.08539666,-37.76952578,Almino Afonso
305263,879350,CF78667,-6.08517802,-37.77002189,Almino Afonso
305264,879351,CF76633,-6.0985773,-37.77859317,Almino Afonso
305265,879352,CF76649,-6.09857533,-37.77918936,Almino Afonso
305266,879353,CF76654,-6.09858246,-37.77976751,Almino Afonso
305267,879354,CF7666X,-6.0984793,-37.78088729,Almino Afonso
305268,879355,CF76675,-6.09825008,-37.78184405,Almino Afonso
305269,879356,CF76570,-6.09857715,-37.77315516,Almino Afonso
305270,879357,CF76586,-6.09831555,-37.7729646,Almino Afonso
305350,879444,CF78819,-6.07357078,-37.76916195,Almino Afonso
305351,879445,CF78803,-6.07412252,-37.76910955,Almino Afonso
305637,880205,CD68000,-6.124398,-37.74660868,Almino Afonso
305638,880206,CD67887,-6.12189663,-37.74558877,Almino Afonso
305639,880207,CD68629,-6.1182034,-37.74404105,Almino Afonso
305640,880208,CD68608,-6.12032128,-37.74342459,Almino Afonso
305641,880209,CD68592,-6.12070134,-37.74333548,Almino Afonso
305642,880210,CD68613,-6.1194432,-37.74372889,Almino Afonso
306091,880722,CD67845,-6.14542909,-37.75521443,Almino Afonso
306092,880723,CD67850,-6.14450804,-37.75483198,Almino Afonso
306104,880737,CD67997,-6.12708902,-37.74770149,Almino Afonso
306105,880738,CD67981,-6.12852482,-37.74828433,Almino Afonso
306106,880739,CD67960,-6.13238974,-37.74985979,Almino Afonso
306107,880740,CD67955,-6.13373509,-37.75045139,Almino Afonso
306108,880741,CD6794X,-6.13490007,-37.75089785,Almino Afonso
306109,880742,CD67934,-6.13569477,-37.7512076,Almino Afonso
306110,880743,CD67929,-6.13689565,-37.75173549,Almino Afonso
306111,880744,CD67913,-6.1379341,-37.75216349,Almino Afonso
306112,880745,CD67908,-6.13971305,-37.75288299,Almino Afonso
306113,880746,CD67892,-6.14143783,-37.75357522,Almino Afonso
306114,880747,CD67871,-6.14261161,-37.754094,Almino Afonso
306115,880748,CD67866,-6.14320762,-37.75433084,Almino Afonso
306116,880749,CD6783X,-6.14626771,-37.75591281,Almino Afonso
306117,880750,CD67824,-6.14702529,-37.75651155,Almino Afonso
306118,880751,CD67819,-6.1475124,-37.75686548,Almino Afonso
306119,880752,CD67803,-6.14880173,-37.75798995,Almino Afonso
306120,880753,CD67798,-6.15014533,-37.75910557,Almino Afonso
306121,880754,CD67782,-6.15080367,-37.75963171,Almino Afonso
306122,880755,CD67777,-6.15127273,-37.75997656,Almino Afonso
306123,880756,CD67714,-6.15283277,-37.76126455,Almino Afonso
306124,880758,CD67709,-6.15318529,-37.76130185,Almino Afonso
306125,880759,CD57748,-6.15310585,-37.7661891,Almino Afonso
306126,880760,CD57753,-6.15293877,-37.76645695,Almino Afonso
306127,880761,CD57732,-6.15332919,-37.76586703,Almino Afonso
306128,880762,DC52450,-6.15656765,-37.76150117,Almino Afonso
306129,880763,R72111,-6.15647175,-37.76151931,Almino Afonso
306130,880769,CD58165,-6.15411384,-37.76455506,Almino Afonso
306131,880770,CD56655,-6.15414938,-37.76497018,Almino Afonso
306132,880771,CD58123,-6.15340912,-37.76512334,Almino Afonso
306133,880772,CD57837,-6.15321441,-37.76540619,Almino Afonso
306134,880773,CD58118,-6.15362751,-37.76481346,Almino Afonso
306135,880774,CD58102,-6.1538706,-37.7648027,Almino Afonso
306136,880775,CD57842,-6.15350561,-37.76561223,Almino Afonso
306137,880776,CD58212,-6.15440904,-37.76311273,Almino Afonso
306138,880777,CD58207,-6.15433536,-37.76351903,Almino Afonso
306139,880779,CD58186,-6.15423431,-37.76399751,Almino Afonso
306140,880780,CD58055,-6.15377542,-37.76391785,Almino Afonso
